name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
login / request_10	753	753	0	0	0	-1	6740	6740	-1	224	224	-1	402	402	-1	920	920	-1	1710	1710	-1	t < 800 ms	707	93	800 ms < t < 1200 ms	28	3	t > 1200 ms	18	2	failed	0	0	1	1	-1
login / request_11	789	789	0	0	0	-1	6760	6760	-1	217	217	-1	423	423	-1	780	780	-1	1840	1840	-1	t < 800 ms	751	95	800 ms < t < 1200 ms	24	3	t > 1200 ms	14	1	failed	0	0	1	1	-1
login / request_12	1005	1005	0	0	0	-1	760	760	-1	56	56	-1	85	85	-1	220	220	-1	400	400	-1	t < 800 ms	1005	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
login / request_13	1005	1005	0	0	0	-1	4910	4910	-1	263	263	-1	447	447	-1	1010	1010	-1	1990	1990	-1	t < 800 ms	928	92	800 ms < t < 1200 ms	42	4	t > 1200 ms	35	3	failed	0	0	1	1	-1
login / request_14	1005	1005	0	0	0	-1	6380	6380	-1	201	201	-1	394	394	-1	810	810	-1	1810	1810	-1	t < 800 ms	954	94	800 ms < t < 1200 ms	23	2	t > 1200 ms	28	2	failed	0	0	1	1	-1
login / request_15	1005	1005	0	10	10	-1	3740	3740	-1	278	278	-1	358	358	-1	910	910	-1	1730	1730	-1	t < 800 ms	939	93	800 ms < t < 1200 ms	39	3	t > 1200 ms	27	2	failed	0	0	1	1	-1
login / request_16	1005	1005	0	20	20	-1	6810	6810	-1	280	280	-1	439	439	-1	830	830	-1	1590	1590	-1	t < 800 ms	951	94	800 ms < t < 1200 ms	35	3	t > 1200 ms	19	1	failed	0	0	1	1	-1
login / request_17	1005	1005	0	0	0	-1	5020	5020	-1	192	192	-1	311	311	-1	780	780	-1	1330	1330	-1	t < 800 ms	959	95	800 ms < t < 1200 ms	32	3	t > 1200 ms	14	1	failed	0	0	1	1	-1
login / request_18	1005	1005	0	10	10	-1	6870	6870	-1	246	246	-1	382	382	-1	680	680	-1	1670	1670	-1	t < 800 ms	963	95	800 ms < t < 1200 ms	25	2	t > 1200 ms	17	1	failed	0	0	1	1	-1
login / request_20	1005	1005	0	0	0	-1	5420	5420	-1	202	202	-1	372	372	-1	850	850	-1	1750	1750	-1	t < 800 ms	946	94	800 ms < t < 1200 ms	34	3	t > 1200 ms	25	2	failed	0	0	1	1	-1
createJob	1005	1000	5	5100	5100	6050	29700	29700	13000	10098	10102	9450	3589	3591	2562	14950	14950	13000	26300	26300	13000	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	1000	99	failed	5	0	1	1	0
createJob / request_22	1005	1005	0	30	30	-1	6910	6910	-1	338	338	-1	454	454	-1	1120	1120	-1	1920	1920	-1	t < 800 ms	900	89	800 ms < t < 1200 ms	64	6	t > 1200 ms	41	4	failed	0	0	1	1	-1
createJob / request_23	703	703	0	0	0	-1	8320	8320	-1	271	271	-1	600	600	-1	1100	1100	-1	1930	1930	-1	t < 800 ms	649	92	800 ms < t < 1200 ms	31	4	t > 1200 ms	23	3	failed	0	0	1	1	-1
createJob / request_24	1005	1005	0	10	10	-1	1020	1020	-1	20	20	-1	53	53	-1	20	20	-1	230	230	-1	t < 800 ms	1003	99	800 ms < t < 1200 ms	2	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
createJob / request_26	1005	1005	0	0	0	-1	620	620	-1	12	12	-1	29	29	-1	10	10	-1	210	210	-1	t < 800 ms	1005	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
createJob / request_25	1005	1005	0	0	0	-1	9480	9480	-1	234	234	-1	531	531	-1	860	860	-1	1840	1840	-1	t < 800 ms	946	94	800 ms < t < 1200 ms	33	3	t > 1200 ms	26	2	failed	0	0	1	1	-1
