name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Certificate Search / request_186 Redirect 1	3	2	1	190	2780	190	5430	5430	190	2800	4105	190	2139	1325	0	5430	5430	190	5430	5430	190	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	2	66	failed	1	33	0	0	0
Certificate Search / request_191 Redirect 1	3	0	3	60	-1	60	180	-1	180	133	-1	133	53	-1	53	180	-1	180	180	-1	180	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	3	100	0	-1	0
Certificate Search / request_196 Redirect 1	3	3	0	590	590	-1	2540	2540	-1	1520	1520	-1	799	799	-1	2540	2540	-1	2540	2540	-1	t < 800 ms	1	33	800 ms < t < 1200 ms	0	0	t > 1200 ms	2	66	failed	0	0	0	0	-1
MSI Search	1005	988	17	76550	76550	95200	181850	173300	181850	106230	105321	159094	0	0	0	149450	147150	181550	169050	159250	181850	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	988	98	failed	17	1	0	0	0
MSI Search / request_201	1005	1005	0	310	310	-1	16480	16480	-1	1859	1859	-1	2101	2101	-1	5450	5450	-1	11250	11250	-1	t < 800 ms	414	41	800 ms < t < 1200 ms	86	8	t > 1200 ms	505	50	failed	0	0	0	0	-1
MSI Search / request_202	1005	1005	0	330	330	-1	13570	13570	-1	2082	2082	-1	1818	1818	-1	5490	5490	-1	8620	8620	-1	t < 800 ms	319	31	800 ms < t < 1200 ms	97	9	t > 1200 ms	589	58	failed	0	0	0	0	-1
MSI Search / request_203	1005	1005	0	310	310	-1	8430	8430	-1	1573	1573	-1	1389	1389	-1	4310	4310	-1	6010	6010	-1	t < 800 ms	433	43	800 ms < t < 1200 ms	100	9	t > 1200 ms	472	46	failed	0	0	0	0	-1
MSI Search / request_204	1005	1005	0	370	370	-1	19440	19440	-1	1996	1996	-1	1974	1974	-1	5660	5660	-1	10220	10220	-1	t < 800 ms	340	33	800 ms < t < 1200 ms	104	10	t > 1200 ms	561	55	failed	0	0	0	0	-1
MSI Search / request_205	1005	1002	3	340	340	360	8750	8750	5010	1620	1616	2667	1395	1393	1898	4550	4550	5010	5670	5670	5010	t < 800 ms	393	39	800 ms < t < 1200 ms	136	13	t > 1200 ms	473	47	failed	3	0	0	0	0
MSI Search / request_206	1005	1005	0	310	310	-1	13000	13000	-1	1510	1510	-1	1409	1409	-1	4180	4180	-1	5890	5890	-1	t < 800 ms	451	44	800 ms < t < 1200 ms	110	10	t > 1200 ms	444	44	failed	0	0	0	0	-1
MSI Search / request_207	1005	1005	0	340	340	-1	16220	16220	-1	1913	1913	-1	1911	1911	-1	5380	5380	-1	9620	9620	-1	t < 800 ms	347	34	800 ms < t < 1200 ms	132	13	t > 1200 ms	526	52	failed	0	0	0	0	-1
MSI Search / request_208	1005	1005	0	310	310	-1	8620	8620	-1	1530	1530	-1	1393	1393	-1	4360	4360	-1	6110	6110	-1	t < 800 ms	447	44	800 ms < t < 1200 ms	106	10	t > 1200 ms	452	44	failed	0	0	0	0	-1
MSI Search / request_209	1005	1004	1	310	310	12650	19850	19850	12650	1887	1877	12650	2139	2112	0	5200	5160	12650	11000	10430	12650	t < 800 ms	393	39	800 ms < t < 1200 ms	90	8	t > 1200 ms	521	51	failed	1	0	0	0	0
MSI Search / request_210	1005	1003	2	340	340	14830	17030	17030	15650	2206	2180	15240	2271	2198	410	6060	6040	15650	11020	10910	15650	t < 800 ms	337	33	800 ms < t < 1200 ms	99	9	t > 1200 ms	567	56	failed	2	0	0	0	0
MSI Search / request_211	1005	1005	0	310	310	-1	19470	19470	-1	1567	1567	-1	1727	1727	-1	4840	4840	-1	7880	7880	-1	t < 800 ms	445	44	800 ms < t < 1200 ms	132	13	t > 1200 ms	428	42	failed	0	0	0	0	-1
MSI Search / request_212	1005	1002	3	260	340	260	14800	14230	14800	2078	2069	5240	2186	2150	6762	6600	6580	14800	10500	10250	14800	t < 800 ms	367	36	800 ms < t < 1200 ms	124	12	t > 1200 ms	511	50	failed	3	0	0	0	0
